time,open,high,low,close,volume
2022-04-05 21:00:00+00:00,34780.0,34804.7,34737.0,34745.5,7665
2022-04-05 22:00:00+00:00,34745.5,34760.0,34563.0,34640.2,8962
2022-04-05 23:00:00+00:00,34646.2,34679.5,34646.2,34679.5,2965
2022-04-06 01:00:00+00:00,34680.4,34685.0,34654.5,34679.0,1329
2022-04-06 02:00:00+00:00,34679.0,34688.5,34664.2,34669.0,1458
2022-04-06 03:00:00+00:00,34669.0,34685.7,34602.5,34603.0,3442
2022-04-06 04:00:00+00:00,34603.2,34649.5,34582.5,34587.5,3306
2022-04-06 05:00:00+00:00,34587.5,34616.5,34584.5,34613.5,2526
2022-04-06 06:00:00+00:00,34613.5,34619.5,34587.6,34598.7,1826
2022-04-06 07:00:00+00:00,34598.9,34627.6,34598.6,34616.6,1634
2022-04-06 08:00:00+00:00,34616.6,34672.6,34616.6,34634.6,2707
2022-04-06 09:00:00+00:00,34635.9,34697.4,34631.1,34666.2,3849
2022-04-06 10:00:00+00:00,34665.9,34699.4,34502.9,34511.9,7160
2022-04-06 11:00:00+00:00,34511.9,34564.6,34490.4,34542.4,6214
2022-04-06 12:00:00+00:00,34542.4,34555.5,34436.4,34486.9,5236
2022-04-06 13:00:00+00:00,34486.4,34497.3,34437.9,34456.4,5056
2022-04-06 14:00:00+00:00,34455.9,34463.4,34396.4,34404.4,5402
2022-04-06 15:00:00+00:00,34404.4,34430.5,34374.4,34415.4,5459
2022-04-06 16:00:00+00:00,34415.4,34439.0,34320.4,34377.6,7982
2022-04-06 17:00:00+00:00,34378.4,34415.7,34318.8,34345.1,9580
2022-04-06 18:00:00+00:00,34345.1,34460.1,34332.6,34430.6,8851
2022-04-06 19:00:00+00:00,34430.1,34461.2,34354.1,34399.6,7962
2022-04-06 20:00:00+00:00,34396.6,34512.8,34381.6,34429.6,7834
2022-04-06 21:00:00+00:00,34435.8,34576.4,34274.6,34563.1,10953
2022-04-06 22:00:00+00:00,34564.1,34611.2,34396.1,34493.2,10473
2022-04-06 23:00:00+00:00,34491.3,34496.6,34448.1,34452.1,3395
2022-04-07 01:00:00+00:00,34453.0,34487.0,34452.0,34472.5,1919
2022-04-07 02:00:00+00:00,34473.1,34477.5,34380.0,34388.5,2067
2022-04-07 03:00:00+00:00,34388.0,34399.0,34358.0,34383.4,3519
2022-04-07 04:00:00+00:00,34383.5,34442.8,34366.5,34413.2,3889
2022-04-07 05:00:00+00:00,34413.3,34416.2,34385.0,34394.5,2753
2022-04-07 06:00:00+00:00,34393.0,34398.5,34340.0,34341.0,2486
2022-04-07 07:00:00+00:00,34341.0,34354.0,34323.5,34336.5,2350
2022-04-07 08:00:00+00:00,34335.5,34386.1,34314.5,34364.5,3614
2022-04-07 09:00:00+00:00,34365.3,34469.2,34350.2,34455.4,5084
2022-04-07 10:00:00+00:00,34456.4,34511.9,34428.2,34435.7,7032
2022-04-07 11:00:00+00:00,34435.2,34489.6,34398.2,34488.5,6094
2022-04-07 12:00:00+00:00,34488.2,34525.4,34460.2,34519.0,4914
2022-04-07 13:00:00+00:00,34519.2,34528.9,34500.2,34501.2,3498
2022-04-07 14:00:00+00:00,34501.2,34590.8,34459.2,34483.7,6103
2022-04-07 15:00:00+00:00,34484.0,34491.7,34381.2,34396.7,5595
2022-04-07 16:00:00+00:00,34397.9,34462.0,34296.2,34348.2,8366
2022-04-07 17:00:00+00:00,34346.2,34360.4,34179.7,34266.2,10066
2022-04-07 18:00:00+00:00,34266.1,34325.1,34217.6,34303.6,9322
2022-04-07 19:00:00+00:00,34303.8,34354.2,34287.1,34339.3,8267
2022-04-07 20:00:00+00:00,34339.1,34546.0,34331.7,34533.1,8609
2022-04-07 21:00:00+00:00,34531.6,34638.7,34482.1,34629.1,8290
2022-04-07 22:00:00+00:00,34620.1,34705.7,34575.1,34593.6,8924
2022-04-07 23:00:00+00:00,34590.8,34612.3,34555.1,34578.6,2819
2022-04-08 01:00:00+00:00,34576.1,34594.6,34574.1,34587.6,1241
2022-04-08 02:00:00+00:00,34587.6,34624.1,34578.1,34612.1,1779
2022-04-08 03:00:00+00:00,34608.6,34620.5,34541.1,34573.2,3516
2022-04-08 04:00:00+00:00,34573.4,34579.1,34548.6,34553.9,3223
2022-04-08 05:00:00+00:00,34554.0,34607.2,34550.6,34606.6,2714
2022-04-08 06:00:00+00:00,34606.6,34611.1,34573.1,34584.1,2454
2022-04-08 07:00:00+00:00,34584.6,34586.8,34560.7,34570.1,1710
2022-04-08 08:00:00+00:00,34570.3,34625.1,34559.6,34618.0,3165
2022-04-08 09:00:00+00:00,34619.6,34679.1,34609.4,34667.1,4343
2022-04-08 10:00:00+00:00,34666.4,34726.9,34628.4,34721.4,6473
2022-04-08 11:00:00+00:00,34720.4,34760.1,34681.9,34693.4,4612
2022-04-08 12:00:00+00:00,34693.4,34693.4,34658.9,34688.4,4090
2022-04-08 13:00:00+00:00,34688.5,34715.8,34651.4,34711.4,4388
2022-04-08 14:00:00+00:00,34713.2,34742.4,34701.4,34719.3,4125
2022-04-08 15:00:00+00:00,34719.5,34725.3,34632.4,34644.9,4697
2022-04-08 16:00:00+00:00,34644.9,34644.9,34462.4,34537.9,7759
2022-04-08 17:00:00+00:00,34535.9,34841.1,34527.4,34839.4,9852
2022-04-08 18:00:00+00:00,34836.9,34870.4,34781.9,34834.4,8856
2022-04-08 19:00:00+00:00,34833.9,34913.5,34806.9,34883.3,8362
2022-04-08 20:00:00+00:00,34884.1,34885.8,34804.9,34823.7,7508
2022-04-08 21:00:00+00:00,34823.4,34845.9,34732.0,34795.1,7934
2022-04-08 22:00:00+00:00,34792.4,34841.6,34672.6,34742.6,9065
2022-04-08 23:00:00+00:00,34744.2,34775.3,34713.4,34724.9,2712
2022-04-11 01:00:00+00:00,34747.5,34763.5,34714.0,34726.5,994
2022-04-11 02:00:00+00:00,34725.0,34732.5,34660.5,34660.5,1098
2022-04-11 03:00:00+00:00,34656.0,34688.5,34609.5,34683.5,2454
2022-04-11 04:00:00+00:00,34684.5,34697.0,34589.5,34603.5,2273
2022-04-11 05:00:00+00:00,34602.5,34611.0,34546.5,34561.0,2498
2022-04-11 06:00:00+00:00,34557.5,34583.0,34510.0,34544.5,1703
2022-04-11 07:00:00+00:00,34545.5,34563.5,34527.5,34528.5,1295
2022-04-11 08:00:00+00:00,34529.0,34563.5,34502.5,34563.5,1924
2022-04-11 09:00:00+00:00,34564.7,34615.7,34552.2,34577.7,2478
2022-04-11 10:00:00+00:00,34584.2,34710.7,34503.7,34656.7,5226
2022-04-11 11:00:00+00:00,34658.7,34678.7,34554.7,34602.2,3871
2022-04-11 12:00:00+00:00,34603.2,34688.7,34587.7,34676.7,3092
2022-04-11 13:00:00+00:00,34677.7,34710.7,34641.7,34699.2,2737
2022-04-11 14:00:00+00:00,34700.2,34707.2,34587.7,34592.2,3044
2022-04-11 15:00:00+00:00,34592.7,34606.7,34539.2,34575.7,3245
2022-04-11 16:00:00+00:00,34576.7,34703.7,34538.2,34688.7,6396
2022-04-11 17:00:00+00:00,34684.7,34688.6,34515.6,34558.6,7845
2022-04-11 18:00:00+00:00,34557.6,34571.1,34480.6,34540.1,5980
2022-04-11 19:00:00+00:00,34539.6,34558.6,34455.6,34475.6,4770
2022-04-11 20:00:00+00:00,34472.6,34523.6,34434.6,34509.6,5439
2022-04-11 21:00:00+00:00,34508.6,34533.1,34427.6,34514.6,5620
2022-04-11 22:00:00+00:00,34514.1,34543.6,34274.1,34315.6,6628
2022-04-11 23:00:00+00:00,34319.6,34338.1,34289.6,34326.1,1675
2022-04-12 01:00:00+00:00,34342.7,34360.7,34335.7,34357.7,622
2022-04-12 02:00:00+00:00,34357.2,34359.7,34295.7,34314.2,1054
2022-04-12 03:00:00+00:00,34310.7,34331.7,34224.7,34232.7,2491
2022-04-12 04:00:00+00:00,34231.7,34241.2,34183.7,34187.7,2209
2022-04-12 05:00:00+00:00,34190.2,34214.7,34183.7,34205.7,1534
