lang,repo,path,chars,fams,n_fam,external,ml,stoploss,timeframe,has_roi
freqtrade,PeetCrypto/freqtrade-stuff,ElliotV8_original_ichiv3.py,7891,ema,1,False,False,-0.2,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,EnsembleStrategy.py,6309,ichimoku|macd,2,False,False,-0.99,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,Example_Strat_With_FileLogging.py,3987,ichimoku,1,False,False,-0.2,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,FiveMinCrossAbove.py,3851,bbands,1,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,FixedRiskRewardLoss.py,4891,atr|psar,2,False,False,-0.9,,False
freqtrade,PeetCrypto/freqtrade-stuff,FrostAuraM115mStrategy.py,3918,bbands|macd|psar,3,False,False,-0.34316,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,FrostAuraM11hStrategy.py,3952,bbands|macd|psar,3,False,False,-0.40618,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,FrostAuraM21hStrategy.py,3296,macd|psar|stoch,3,False,False,-0.44897,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,FrostAuraM315mStrategy.py,4564,bbands|macd|psar|stoch,4,False,False,-0.41114,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,FrostAuraM31hStrategy.py,4610,bbands|macd|psar|stoch,4,False,False,-0.44439,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,GodStra.py,25442,adx|bbands|cci|macd|mfi|obv|psar|stoch|williams,9,False,False,-1.0,4h,False
freqtrade,PeetCrypto/freqtrade-stuff,GodStraNew.py,6746,ichimoku,1,False,False,-0.34549,12h,True
freqtrade,PeetCrypto/freqtrade-stuff,GodStraNew40.py,26784,adx|bbands|cci|macd|mfi|obv|psar|stoch|williams,9,False,False,-1.0,4h,False
freqtrade,PeetCrypto/freqtrade-stuff,GodStraNew_SMAonly.py,26715,adx|bbands|cci|macd|mfi|obv|psar|stoch|williams,9,False,False,-1.0,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,HLHB.py,3798,adx,1,False,False,-0.3211,4h,True
freqtrade,PeetCrypto/freqtrade-stuff,Heracles.py,3867,donchian|keltner,2,False,False,-0.256,4h,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichess.py,12916,heikin|ichimoku,2,False,False,-0.314,1d,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichimoku.py,2269,ichimoku,1,False,False,-0.1,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,IchimokuStrategy.py,2523,ichimoku,1,False,False,-0.1,,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichimoku_SenkouSpanCross.py,2541,ichimoku,1,False,False,-0.99,,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichimoku_v12.py,2592,ichimoku,1,False,False,-1.0,,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichimoku_v30_DojiStar.py,2523,ichimoku,1,False,False,-1.0,,True
freqtrade,PeetCrypto/freqtrade-stuff,Ichimoku_v31_Heikin.py,3757,heikin|ichimoku,2,False,False,-0.99,1h,True
